기준일,출발구,trip_count,fare_sum,fare_count,distance_m_sum,distance_count,request_to_dispatch_min_sum,request_to_dispatch_count,scheduled_to_pickup_min_sum,scheduled_to_pickup_count,ride_min_sum,ride_min_count,avg_fare,avg_distance_m,avg_distance_km,avg_request_to_dispatch_min,avg_scheduled_to_pickup_min,avg_ride_min,total_record_count,completed_count,cancelled_count,completion_rate,cancellation_rate
2025-01-01,강남구,52.0,116500,52,437453,52,2401.3311833333332,52.0,1823.9612833333333,52.0,1030.1133333333332,52.0,2240.3846153846152,8412.557692307691,8.412557692307692,46.17944583333333,35.076178525641026,19.809871794871793,66,52,14,0.7878787878787878,0.21212121212121213
2025-01-01,강동구,73.0,160900,73,596477,73,2733.9128833333334,73.0,2386.3544166666666,73.0,2916.824383333333,73.0,2204.109589041096,8170.917808219178,8.170917808219178,37.45086141552512,32.68978652968036,39.95649840182648,89,73,16,0.8202247191011236,0.1797752808988764
2025-01-01,강북구,50.0,102600,50,386866,50,2338.393216666667,50.0,1365.3005333333333,50.0,961.5251666666667,50.0,2052.0,7737.32,7.7373199999999995,46.767864333333335,27.306010666666666,19.230503333333335,53,50,3,0.9433962264150944,0.05660377358490566
2025-01-01,강서구,74.0,182000,74,838413,74,5604.718066666666,74.0,2313.2009166666667,74.0,3273.157133333333,74.0,2459.4594594594596,11329.905405405405,11.329905405405405,75.73943333333332,31.259471846846846,44.23185315315315,93,74,19,0.7956989247311828,0.20430107526881722
2025-01-01,고양시덕양구,1.0,3300,1,15819,1,70.02038333333333,1.0,12.342216666666667,1.0,41.67066666666666,1.0,3300.0,15819.0,15.819,70.02038333333333,12.342216666666667,41.67066666666666,1,1,0,1.0,0.0
2025-01-01,고양시일산동구,2.0,8400,2,57906,2,181.81188333333336,2.0,21.4345,2.0,96.36138333333334,2.0,4200.0,28953.0,28.953,90.90594166666668,10.71725,48.18069166666667,3,2,1,0.6666666666666666,0.3333333333333333
2025-01-01,과천시,1.0,4700,1,36778,1,8.998283333333335,1.0,20.955116666666665,1.0,55.198433333333334,1.0,4700.0,36778.0,36.778,8.998283333333335,20.955116666666665,55.198433333333334,1,1,0,1.0,0.0
2025-01-01,관악구,38.0,83500,38,307137,38,972.4123666666667,38.0,1470.0956833333332,38.0,797.6784166666666,38.0,2197.3684210526317,8082.5526315789475,8.082552631578947,25.58979912280702,38.68672850877193,20.991537280701753,56,38,18,0.6785714285714286,0.32142857142857145
2025-01-01,광진구,29.0,68600,29,268587,29,758.4491,29.0,861.6036,29.0,574.68,29.0,2365.5172413793102,9261.620689655172,9.261620689655173,26.153417241379312,29.710468965517244,19.81655172413793,38,29,9,0.7631578947368421,0.23684210526315788
2025-01-01,구로구,42.0,94800,42,359193,42,3619.9004999999997,42.0,1385.4600333333333,42.0,926.1506,42.0,2257.1428571428573,8552.214285714286,8.552214285714287,86.18810714285713,32.98714365079365,22.051204761904764,57,42,15,0.7368421052631579,0.2631578947368421
2025-01-01,금천구,18.0,40800,18,166154,18,1509.9545166666667,18.0,625.3481166666667,18.0,388.29291666666666,18.0,2266.6666666666665,9230.777777777777,9.230777777777778,83.88636203703703,34.741562037037035,21.5718287037037,27,18,9,0.6666666666666666,0.3333333333333333
2025-01-01,김포시,3.0,15400,3,125461,3,331.9263833333333,3.0,52.73126666666667,3.0,217.98618333333332,3.0,5133.333333333333,41820.333333333336,41.82033333333334,110.64212777777777,17.57708888888889,72.6620611111111,3,3,0,1.0,0.0
2025-01-01,남양주시,2.0,7800,2,49150,2,127.70478333333334,2.0,-47.361900000000006,2.0,77.60934999999999,2.0,3900.0,24575.0,24.575,63.85239166666667,-23.680950000000003,38.804674999999996,2,2,0,1.0,0.0
2025-01-01,노원구,100.0,212300,100,842219,100,10334.486,100.0,2642.4691333333335,100.0,3349.78895,100.0,2123.0,8422.19,8.42219,103.34486000000001,26.424691333333335,33.4978895,116,100,16,0.8620689655172413,0.13793103448275862
2025-01-01,도봉구,52.0,112300,52,404918,52,2311.873883333333,52.0,1468.4507666666666,52.0,1005.2111166666666,52.0,2159.6153846153848,7786.884615384615,7.786884615384615,44.45911314102564,28.23943782051282,19.33098301282051,59,52,7,0.8813559322033898,0.11864406779661017
2025-01-01,동대문구,56.0,128100,56,480293,56,6298.635083333334,56.0,1641.0092333333334,56.0,1116.5937166666668,56.0,2287.5,8576.660714285714,8.576660714285714,112.47562648809524,29.30373630952381,19.939173511904762,67,56,11,0.835820895522388,0.16417910447761194
2025-01-01,동작구,27.0,69600,27,315835,27,2952.9662833333336,27.0,855.7696833333333,27.0,675.7342,27.0,2577.777777777778,11697.592592592593,11.697592592592594,109.36912160493829,31.695173456790123,25.02719259259259,29,27,2,0.9310344827586207,0.06896551724137931
2025-01-01,마포구,58.0,133000,58,502676,58,2944.310683333333,58.0,2035.6354666666666,58.0,1166.9403833333333,58.0,2293.103448275862,8666.827586206897,8.666827586206896,50.76397729885057,35.097163218390804,20.119661781609196,72,58,14,0.8055555555555556,0.19444444444444445
2025-01-01,서대문구,31.0,61600,31,207053,31,3803.9599499999995,31.0,1195.266,31.0,566.0550333333333,31.0,1987.0967741935483,6679.129032258064,6.679129032258064,122.70838548387096,38.55696774193549,18.259839784946237,40,31,9,0.775,0.225
2025-01-01,서초구,41.0,106900,41,448912,41,3608.4439500000003,41.0,1654.75275,41.0,949.63215,41.0,2607.317073170732,10949.073170731708,10.949073170731708,88.0108280487805,40.35982317073171,23.161759756097563,49,41,8,0.8367346938775511,0.16326530612244897
2025-01-01,성남시분당구,1.0,5400,1,45798,1,91.162,1.0,7.046216666666667,1.0,76.05390000000001,1.0,5400.0,45798.0,45.798,91.162,7.046216666666667,76.05390000000001,1,1,0,1.0,0.0
2025-01-01,성남시수정구,1.0,1500,1,4716,1,15.863283333333333,1.0,-2.0353833333333333,1.0,14.311,1.0,1500.0,4716.0,4.716,15.863283333333333,-2.0353833333333333,14.311,1,1,0,1.0,0.0
2025-01-01,성동구,20.0,46400,20,186628,20,2920.253083333333,20.0,767.12185,20.0,421.33618333333334,20.0,2320.0,9331.4,9.3314,146.01265416666666,38.3560925,21.066809166666665,22,20,2,0.9090909090909091,0.09090909090909091
2025-01-01,성북구,24.0,47300,24,160621,24,479.12626666666665,24.0,745.1282666666666,24.0,436.26508333333334,24.0,1970.8333333333333,6692.541666666667,6.692541666666667,19.963594444444443,31.047011111111107,18.177711805555557,33,24,9,0.7272727272727273,0.2727272727272727
2025-01-01,송파구,60.0,134600,60,538739,60,4906.46005,60.0,2052.5231833333332,60.0,1206.7010833333334,60.0,2243.3333333333335,8978.983333333334,8.978983333333334,81.77433416666666,34.20871972222222,20.111684722222222,73,60,15,0.821917808219178,0.2054794520547945
2025-01-01,양천구,48.0,100900,48,392487,48,2204.158233333333,48.0,1473.3219666666666,48.0,954.8040333333333,48.0,2102.0833333333335,8176.8125,8.1768125,45.91996319444444,30.694207638888887,19.891750694444443,58,48,10,0.8275862068965517,0.1724137931034483
2025-01-01,영등포구,57.0,124700,57,426124,57,962.2938666666666,57.0,1810.9130833333334,57.0,1070.0499166666666,57.0,2187.719298245614,7475.859649122807,7.475859649122807,16.882348538011694,31.770404970760236,18.772805555555554,70,57,13,0.8142857142857143,0.18571428571428572
2025-01-01,용산구,26.0,67300,26,312630,26,675.6719833333333,26.0,1209.6896833333333,26.0,670.15355,26.0,2588.4615384615386,12024.23076923077,12.024230769230769,25.987383974358973,46.52652628205128,25.77513653846154,33,26,7,0.7878787878787878,0.21212121212121213
2025-01-01,은평구,56.0,133100,56,546151,56,4646.969033333334,56.0,1441.0727,56.0,1208.4293499999999,56.0,2376.785714285714,9752.69642857143,9.75269642857143,82.98158988095238,25.73344107142857,21.579095535714284,66,56,10,0.8484848484848485,0.15151515151515152
2025-01-01,종로구,38.0,96100,38,433182,38,2459.409583333333,38.0,1212.4609,38.0,1048.3104166666667,38.0,2528.9473684210525,11399.526315789473,11.399526315789473,64.7213048245614,31.906865789473684,27.587116228070176,47,38,9,0.8085106382978723,0.19148936170212766
2025-01-01,중구,28.0,64000,28,228170,28,1687.7656999999997,28.0,861.2007833333333,28.0,579.3079833333334,28.0,2285.714285714286,8148.928571428572,8.148928571428572,60.27734642857142,30.757170833333333,20.689570833333335,34,28,6,0.8235294117647058,0.17647058823529413
2025-01-01,중랑구,65.0,129700,65,428956,65,2155.4652166666665,65.0,1861.4167333333332,65.0,1198.4932833333332,65.0,1995.3846153846155,6599.323076923077,6.599323076923077,33.16100333333333,28.63718051282051,18.438358205128203,77,65,11,0.8441558441558441,0.14285714285714285
2025-01-01,하남시,1.0,4100,1,27352,1,90.63128333333334,1.0,9.478166666666668,1.0,60.93333333333333,1.0,4100.0,27352.0,27.352,90.63128333333334,9.478166666666668,60.93333333333333,1,1,0,1.0,0.0
2025-01-02,강남구,162.0,465800,162,1914612,162,15820.286966666667,162.0,6161.315083333333,162.0,4497.115216666667,162.0,2875.3086419753085,11818.592592592593,11.818592592592593,97.65609238683128,38.0328091563786,27.75997047325103,206,162,43,0.7864077669902912,0.2087378640776699
2025-01-02,강동구,281.0,729100,281,2291993,281,10201.093533333333,281.0,7889.99295,281.0,6403.915683333334,281.0,2594.661921708185,8156.55871886121,8.15655871886121,36.30282396204033,28.078266725978647,22.789735527876633,331,281,50,0.8489425981873112,0.1510574018126888
2025-01-02,강북구,126.0,260700,126,909883,126,14627.9586,126.0,3659.668583333333,126.0,2847.9080166666668,126.0,2069.0476190476193,7221.293650793651,7.221293650793651,116.09490952380952,29.044988756613755,22.602444576719577,151,126,25,0.8344370860927153,0.16556291390728478
2025-01-02,강서구,243.0,527000,243,1949481,243,24438.004116666667,243.0,7472.640966666667,243.0,5443.288,243.0,2168.724279835391,8022.555555555556,8.022555555555556,100.56791817558299,30.751608916323733,22.400362139917693,281,243,38,0.8647686832740213,0.13523131672597866
2025-01-02,고양시덕양구,2.0,4600,2,15306,2,206.15666666666667,2.0,-206.12716666666665,2.0,57.2376,2.0,2300.0,7653.0,7.653,103.07833333333333,-103.06358333333333,28.6188,2,2,0,1.0,0.0
2025-01-02,과천시,1.0,4300,1,30525,1,100.74845,1.0,-226.91561666666666,1.0,66.3149,1.0,4300.0,30525.0,30.525,100.74845,-226.91561666666666,66.3149,1,1,0,1.0,0.0
2025-01-02,관악구,155.0,316200,155,1042271,155,14965.814333333334,155.0,5142.736233333333,155.0,3399.3780833333335,155.0,2040.0,6724.329032258064,6.724329032258064,96.55364086021505,33.178943440860216,21.931471505376344,176,155,21,0.8806818181818182,0.11931818181818182
2025-01-02,광진구,140.0,307800,140,1131702,140,5908.20365,140.0,4217.571733333333,140.0,3068.0808666666667,140.0,2198.5714285714284,8083.585714285714,8.083585714285714,42.20145464285714,30.12551238095238,21.914863333333333,156,140,16,0.8974358974358975,0.10256410256410256
2025-01-02,구로구,156.0,398800,156,1460257,156,17644.657766666667,156.0,5016.0752,156.0,4115.639766666666,156.0,2556.4102564102564,9360.621794871795,9.360621794871795,113.10678055555556,32.15432820512821,26.382306196581194,184,156,28,0.8478260869565217,0.15217391304347827
2025-01-02,구리시,2.0,4000,2,12886,2,71.62071666666667,2.0,-11.021283333333333,2.0,37.068733333333334,2.0,2000.0,6443.0,6.443,35.81035833333333,-5.510641666666666,18.534366666666667,2,2,0,1.0,0.0
2025-01-02,금천구,67.0,152100,67,593100,67,11210.551416666667,67.0,2452.4238333333333,67.0,1791.6004166666667,67.0,2270.1492537313434,8852.23880597015,8.85223880597015,167.3216629353234,36.6033407960199,26.74030472636816,81,67,14,0.8271604938271605,0.1728395061728395
2025-01-02,김포시,4.0,21200,4,177500,4,450.6306,4.0,-96.89716666666666,4.0,282.0416,4.0,5300.0,44375.0,44.375,112.65765,-24.224291666666666,70.5104,6,4,2,0.6666666666666666,0.3333333333333333
2025-01-02,남양주시,3.0,14500,3,115654,3,248.46988333333334,3.0,-1.248766666666672,3.0,162.95398333333333,3.0,4833.333333333333,38551.333333333336,38.55133333333334,82.82329444444444,-0.4162555555555573,54.317994444444444,3,3,0,1.0,0.0
2025-01-02,노원구,469.0,963200,469,2897767,469,36667.39923333334,469.0,11241.616683333334,469.0,8932.247683333333,469.0,2053.731343283582,6178.607675906183,6.178607675906184,78.1820879175551,23.969331947405827,19.04530422885572,511,469,42,0.9178082191780822,0.0821917808219178
2025-01-02,도봉구,153.0,332500,153,1264444,153,10668.134883333334,153.0,4140.070783333334,153.0,3461.8542833333336,153.0,2173.202614379085,8264.339869281046,8.264339869281047,69.72637178649238,27.059286165577344,22.626498583877996,195,153,42,0.7846153846153846,0.2153846153846154
2025-01-02,동대문구,195.0,428500,195,1569307,195,16938.880683333333,195.0,5777.82135,195.0,4425.1987500000005,195.0,2197.4358974358975,8047.728205128205,8.047728205128205,86.86605478632478,29.629853076923077,22.693326923076924,208,195,13,0.9375,0.0625
2025-01-02,동작구,127.0,261500,127,861731,127,19120.05495,127.0,4290.769783333333,127.0,2683.5976333333333,127.0,2059.0551181102364,6785.283464566929,6.785283464566929,150.55161377952757,33.78558884514435,21.130690026246718,141,127,14,0.900709219858156,0.09929078014184398
2025-01-02,마포구,257.0,564400,257,2037035,257,15887.539883333333,257.0,6980.944916666666,257.0,5774.775566666666,257.0,2196.1089494163425,7926.206225680934,7.926206225680934,61.81922133592737,27.1632097924773,22.469943839169908,288,257,31,0.8923611111111112,0.1076388888888889
2025-01-02,서대문구,287.0,607000,287,2160542,287,12810.886766666667,287.0,8022.6704500000005,287.0,6619.793333333333,287.0,2114.9825783972124,7528.020905923345,7.528020905923345,44.63723612078978,27.953555574912894,23.065481997677118,340,287,53,0.8441176470588235,0.15588235294117647
2025-01-02,서초구,111.0,278200,111,1159141,111,11870.1799,111.0,4546.865916666667,111.0,3059.2548833333335,111.0,2506.3063063063064,10442.711711711712,10.442711711711713,106.93855765765765,40.962756006006,27.560854804804805,145,111,33,0.7655172413793103,0.22758620689655173
2025-01-02,성남시분당구,2.0,9100,2,68066,2,172.91271666666665,2.0,-137.71478333333334,2.0,114.36378333333334,2.0,4550.0,34033.0,34.033,86.45635833333333,-68.85739166666667,57.18189166666667,2,2,0,1.0,0.0
2025-01-02,성동구,120.0,288100,120,1157976,120,8941.878316666667,120.0,3538.4156333333335,120.0,3242.0286,120.0,2400.8333333333335,9649.8,9.649799999999999,74.5156526388889,29.486796944444446,27.016905,140,120,20,0.8571428571428571,0.14285714285714285
2025-01-02,성북구,171.0,351900,171,1206386,171,15614.2735,171.0,5373.2968,171.0,3881.6141333333335,171.0,2057.8947368421054,7054.888888888889,7.054888888888889,91.31154093567251,31.42278830409357,22.699497855750487,194,171,23,0.8814432989690721,0.11855670103092783
2025-01-02,송파구,160.0,403900,160,1739810,160,18590.4748,160.0,5410.682583333333,160.0,4048.1966666666667,160.0,2524.375,10873.8125,10.8738125,116.1904675,33.816766145833334,25.301229166666666,187,160,27,0.8556149732620321,0.1443850267379679
2025-01-02,안양시만안구,1.0,2900,1,9915,1,93.95916666666668,1.0,13.582833333333333,1.0,21.26795,1.0,2900.0,9915.0,9.915,93.95916666666668,13.582833333333333,21.26795,1,1,0,1.0,0.0
2025-01-02,양주시,1.0,5500,1,47513,1,82.92016666666667,1.0,9.4665,1.0,102.85995,1.0,5500.0,47513.0,47.513,82.92016666666667,9.4665,102.85995,1,1,0,1.0,0.0
2025-01-02,양천구,185.0,476000,185,1355007,185,27681.377183333334,185.0,5407.000083333333,185.0,3896.7932166666665,185.0,2572.972972972973,7324.362162162162,7.324362162162163,149.62906585585586,29.227027477477478,21.063747117117117,208,185,23,0.8894230769230769,0.11057692307692307
2025-01-02,영등포구,165.0,379900,165,1432496,165,5478.444816666667,165.0,4742.942366666667,165.0,3941.106566666667,165.0,2302.4242424242425,8681.79393939394,8.68179393939394,33.20269585858586,28.745105252525256,23.885494343434345,208,165,43,0.7932692307692307,0.20673076923076922
2025-01-02,용산구,81.0,191800,81,732353,81,4772.233366666667,81.0,2954.8075833333332,81.0,2086.67965,81.0,2367.901234567901,9041.395061728395,9.041395061728396,58.916461316872436,36.47910596707819,25.76147716049383,100,81,19,0.81,0.19
2025-01-02,은평구,287.0,591500,287,2007533,287,14185.191166666666,287.0,8315.276033333334,287.0,5893.567566666667,287.0,2060.9756097560976,6994.88850174216,6.99488850174216,49.42575319396051,28.973087224157958,20.535078629500582,341,287,54,0.841642228739003,0.15835777126099707
2025-01-02,종로구,140.0,334000,140,1349834,140,10184.4765,140.0,3982.1218166666667,140.0,4018.3426,140.0,2385.714285714286,9641.671428571428,9.641671428571428,72.74626071428573,28.443727261904762,28.702447142857142,155,140,15,0.9032258064516129,0.0967741935483871
2025-01-02,중구,79.0,193400,79,788572,79,1764.7674166666666,79.0,2540.8862166666668,79.0,2441.060716666667,79.0,2448.1012658227846,9981.924050632912,9.981924050632912,22.33882805907173,32.16311666666667,30.899502742616036,92,79,13,0.8586956521739131,0.14130434782608695
2025-01-02,중랑구,189.0,386400,189,1300961,189,20091.439816666665,189.0,4860.848033333334,189.0,3842.884233333333,189.0,2044.4444444444443,6883.391534391534,6.883391534391534,106.3039143738977,25.718772663139333,20.332720811287476,202,189,13,0.9356435643564357,0.06435643564356436
2025-01-02,하남시,1.0,1700,1,5200,1,50.6395,1.0,-5.65705,1.0,20.117,1.0,1700.0,5200.0,5.2,50.6395,-5.65705,20.117,1,1,0,1.0,0.0
2025-01-03,강남구,161.0,452400,161,1783825,161,18938.548916666667,161.0,6848.042916666666,161.0,5120.795416666667,161.0,2809.9378881987577,11079.658385093167,11.079658385093168,117.63073861283644,42.534428053830226,31.80618271221532,191,161,30,0.8429319371727748,0.15706806282722513
2025-01-03,강동구,276.0,600600,276,2232928,276,19423.547166666667,276.0,8139.554283333333,276.0,6006.5996000000005,276.0,2176.086956521739,8090.31884057971,8.09031884057971,70.37517089371981,29.491138707729466,21.76304202898551,306,276,30,0.9019607843137255,0.09803921568627451
2025-01-03,강북구,144.0,294400,144,1010511,144,14469.288433333333,144.0,4573.218283333334,144.0,3195.398,144.0,2044.4444444444443,7017.4375,7.0174375,100.48116967592593,31.75846030092593,22.19026388888889,163,144,19,0.8834355828220859,0.1165644171779141
2025-01-03,강서구,313.0,719400,313,2860985,313,32767.451933333334,313.0,9876.84905,313.0,7921.253366666667,313.0,2298.402555910543,9140.52715654952,9.14052715654952,104.68834483493077,31.555428274760384,25.307518743343984,368,313,55,0.8505434782608695,0.14945652173913043
2025-01-03,고양시덕양구,2.0,6000,2,21798,2,121.79288333333334,2.0,-32.69833333333333,2.0,48.06528333333334,2.0,3000.0,10899.0,10.899,60.89644166666667,-16.349166666666665,24.03264166666667,2,2,0,1.0,0.0
2025-01-03,고양시일산서구,1.0,6100,1,55336,1,150.397,1.0,8.667283333333334,1.0,78.61721666666668,1.0,6100.0,55336.0,55.336,150.397,8.667283333333334,78.61721666666668,1,1,0,1.0,0.0
2025-01-03,관악구,166.0,375200,166,1121833,166,10371.193516666666,166.0,6334.93825,166.0,3426.4759166666668,166.0,2260.240963855422,6758.030120481928,6.758030120481928,62.47706937751004,38.16227861445783,20.641421184738956,187,166,21,0.8877005347593583,0.11229946524064172
2025-01-03,광진구,136.0,280800,136,930256,136,4834.088333333333,136.0,4014.28205,136.0,2729.58875,136.0,2064.705882352941,6840.117647058823,6.840117647058824,35.54476715686275,29.516779779411763,20.070505514705882,155,136,19,0.8774193548387097,0.12258064516129032
2025-01-03,구로구,165.0,358900,165,1299896,165,18564.79965,165.0,5786.458283333333,165.0,3917.14515,165.0,2175.151515151515,7878.157575757576,7.878157575757576,112.51393727272728,35.069444141414145,23.740273636363636,189,165,24,0.873015873015873,0.12698412698412698
2025-01-03,금천구,81.0,182700,81,712299,81,11945.2349,81.0,3404.3032,81.0,2201.134633333333,81.0,2255.5555555555557,8793.814814814816,8.793814814814816,147.47203580246912,42.02843456790123,27.174501646090533,101,81,20,0.801980198019802,0.19801980198019803
2025-01-03,김포시,5.0,27800,5,239850,5,521.7513833333334,5.0,44.755516666666665,5.0,348.2317,5.0,5560.0,47970.0,47.97,104.35027666666667,8.951103333333332,69.64634,5,5,0,1.0,0.0
2025-01-03,남양주시,4.0,19500,4,154751,4,352.8813333333333,4.0,3.489283333333333,4.0,275.39278333333334,4.0,4875.0,38687.75,38.68775,88.22033333333333,0.8723208333333332,68.84819583333334,4,4,0,1.0,0.0
2025-01-03,노원구,535.0,1083000,535,3291796,535,52341.62415,535.0,13256.77015,535.0,10215.3651,535.0,2024.2990654205607,6152.889719626168,6.152889719626168,97.8348114953271,24.779009626168225,19.094140373831777,592,535,57,0.9037162162162162,0.09628378378378379
2025-01-03,도봉구,167.0,341400,167,1211138,167,11545.464283333333,167.0,4720.13405,167.0,3476.62165,167.0,2044.311377245509,7252.323353293413,7.252323353293413,69.13451666666667,28.264275748502993,20.81809371257485,190,167,23,0.8789473684210526,0.12105263157894737
2025-01-03,동대문구,151.0,325800,151,1118606,151,14018.482033333334,151.0,4903.1789,151.0,3286.704583333333,151.0,2157.615894039735,7407.986754966887,7.407986754966887,92.8376293598234,32.47138344370861,21.766255518763796,163,151,12,0.9263803680981595,0.0736196319018405
2025-01-03,동작구,138.0,290700,138,1060642,138,15223.112783333334,138.0,4603.051983333334,138.0,3136.4268166666666,138.0,2106.521739130435,7685.811594202899,7.685811594202899,110.31241147342996,33.35544915458937,22.727730555555556,152,138,14,0.9078947368421053,0.09210526315789473
2025-01-03,마포구,257.0,563700,257,2067181,257,23590.513816666666,257.0,8354.541150000001,257.0,5722.478883333333,257.0,2193.385214007782,8043.505836575875,8.043505836575875,91.79188255512321,32.50794221789884,22.266454798962386,295,257,38,0.8711864406779661,0.1288135593220339
2025-01-03,부천시원미구,1.0,3700,1,21827,1,79.95638333333333,1.0,2.2811666666666666,1.0,61.64778333333334,1.0,3700.0,21827.0,21.827,79.95638333333333,2.2811666666666666,61.64778333333334,1,1,0,1.0,0.0
2025-01-03,부평구,1.0,5000,1,39427,1,134.01588333333333,1.0,14.067883333333333,1.0,70.96978333333333,1.0,5000.0,39427.0,39.427,134.01588333333333,14.067883333333333,70.96978333333333,1,1,0,1.0,0.0
2025-01-03,서대문구,300.0,661600,300,2552572,300,17763.221866666667,300.0,10122.394333333334,300.0,7383.623716666667,300.0,2205.3333333333335,8508.573333333334,8.508573333333334,59.210739555555556,33.74131444444445,24.612079055555558,371,300,71,0.8086253369272237,0.19137466307277629
2025-01-03,서초구,114.0,283800,114,1170726,114,11706.7938,114.0,4862.12105,114.0,3383.24625,114.0,2489.4736842105262,10269.526315789473,10.269526315789474,102.69117368421053,42.65018464912281,29.677598684210526,152,114,38,0.75,0.25
