이용목적,trip_count,fare_sum,fare_count,distance_m_sum,distance_count,request_to_dispatch_min_sum,request_to_dispatch_count,scheduled_to_pickup_min_sum,scheduled_to_pickup_count,ride_min_sum,ride_min_count,avg_fare,avg_distance_m,avg_distance_km,avg_request_to_dispatch_min,avg_scheduled_to_pickup_min,avg_ride_min
공항티켓,351,2318100,351,22128962,351,41054.91518333333,351,16545.775183333335,351,24580.347366666665,351,6604.273504273504,63045.475783475784,63.04547578347579,116.96557032288698,47.13896063627731,70.029479677113
귀가,113048,256738340,113048,947552034,113048,4949359.176,113048,3881963.0965,113048,2903481.4242666666,113048,2271.0560116056895,8381.85579576817,8.38185579576817,43.78104146911047,34.33906921396221,25.683616023871867
기타,1158810,2628048920,1158810,9688011766,1158810,24998149.170916665,1158810,45241258.36178333,1158810,29857594.101983335,1158810,2267.8859519679672,8360.310806775917,8.360310806775917,21.572258757619167,39.04113561479736,25.76573735295979
쇼핑,161,312400,161,970165,161,3361.8343,161,6273.45325,161,3447.36465,161,1940.3726708074535,6025.869565217391,6.025869565217391,20.880958385093166,38.96554813664596,21.412202795031057
심야예약,121,473400,121,3306090,121,101962.00628333334,121,852.19195,121,4130.882866666667,121,3912.396694214876,27323.057851239668,27.323057851239668,842.661208953168,7.042908677685951,34.13952782369146
업무,7,15700,7,52502,7,181.47298333333333,7,299.77166666666665,7,166.84016666666668,7,2242.8571428571427,7500.285714285715,7.500285714285715,25.924711904761903,42.824523809523804,23.834309523809527
예약광역,6136,30771300,6136,248035311,6136,10457608.327966666,6136,175153.01643333334,6136,439426.76556666667,6136,5014.8794002607565,40422.96463494133,40.42296463494133,1704.303834414385,28.545146094089528,71.61453154606693
예약귀가,164,493000,164,2363081,164,200545.70156666666,164,3928.5792666666666,164,5566.01535,164,3006.0975609756097,14409.030487804877,14.409030487804877,1222.839643699187,23.95475162601626,33.93911798780488
예약기타,45462,113335260,45462,454811329,45462,62357807.22231667,45462,1098304.18385,45462,1436056.15195,45462,2492.966873432757,10004.208547798162,10.004208547798163,1371.646808814321,24.15873001297787,31.58805490189609
예약재활,4250,9676000,4250,34920430,4250,5858742.166816667,4250,105534.16908333333,4250,123851.62638333334,4250,2276.705882352941,8216.571764705883,8.216571764705883,1378.5275686627451,24.83156919607843,29.14155914901961
예약치료,10902,26877000,10902,109179750,10902,14673027.453883333,10902,266593.47103333334,10902,366287.77616666665,10902,2465.327462850853,10014.653274628508,10.014653274628508,1345.9023531355103,24.45362970402984,33.59821832385495
예약통학/출근,1497,3690900,1497,16295584,1497,2113128.7121833335,1497,39072.61845,1497,56057.78528333333,1497,2465.5310621242484,10885.493653974616,10.885493653974615,1411.575626040971,26.100613527054108,37.44675035626809
재활,30597,62221500,30597,203239564,30597,2136398.1631,30597,1171830.6987,30597,669841.0791666667,30597,2033.581723698402,6642.467039252214,6.642467039252214,69.82377890316044,38.298875664280814,21.89237765685089
종교,5704,13666400,5704,52011539,5704,153679.87435,5704,252971.40185,5704,140012.22658333334,5704,2395.9326788218796,9118.432503506312,9.118432503506313,26.942474465287518,44.34982500876578,24.54632303354371
치료,87996,187139860,87996,630185278,87996,4302073.360383334,87996,3247271.3464,87996,2052294.24325,87996,2126.685985726624,7161.52186463021,7.16152186463021,48.88941952342531,36.90248814037002,23.322585609004957
치료광역,1701,7238000,1701,50337227,1701,597496.8848666666,1701,71155.25118333334,1701,101995.88215,1701,4255.14403292181,29592.726043503822,29.592726043503824,351.262131020968,41.83142338820302,59.96230579071135
통학/출근,16417,41172500,16417,166452921,16417,2254449.6784166666,16417,655884.45685,16417,537810.2476833333,16417,2507.9186209417066,10139.058354145094,10.139058354145094,137.32409565795618,39.951541502710604,32.75934992284421
