요일번호,시간대,trip_count,fare_sum,fare_count,distance_m_sum,distance_count,request_to_dispatch_min_sum,request_to_dispatch_count,scheduled_to_pickup_min_sum,scheduled_to_pickup_count,ride_min_sum,ride_min_count,avg_fare,avg_distance_m,avg_distance_km,avg_request_to_dispatch_min,avg_scheduled_to_pickup_min,avg_ride_min,요일명
0,0,204,536300,204,2485736,204,4043.7598666666668,204,7047.544583333333,204,4457.5944500000005,204,2628.921568627451,12184.980392156862,12.184980392156861,19.8223522875817,34.54678717320262,21.850953186274513,월요일
0,1,128,331100,128,1527632,128,3492.4574333333335,128,4537.609966666667,128,2806.0204833333337,128,2586.71875,11934.625,11.934625,27.284823697916668,35.450077864583335,21.92203502604167,월요일
0,2,98,307400,98,1792260,98,1721.6480666666666,98,2938.0119833333333,98,2846.24785,98,3136.734693877551,18288.367346938776,18.288367346938777,17.567837414965986,29.97971411564626,29.04334540816327,월요일
0,3,221,656500,221,3517819,221,6844.9288166666665,221,6044.672333333333,221,5782.351683333333,221,2970.5882352941176,15917.733031674208,15.917733031674208,30.97252858220211,27.351458521870285,26.16448725490196,월요일
0,4,620,1283800,620,4211066,620,28826.963816666666,620,17585.785,620,10266.508466666666,620,2070.6451612903224,6792.041935483871,6.792041935483871,46.49510293010753,28.364169354838708,16.558884623655914,월요일
0,5,1370,3347800,1370,13359397,1370,105553.00915,1370,65082.07,1370,35869.783833333335,1370,2443.6496350364964,9751.384671532847,9.751384671532847,77.04599208029197,47.5051605839416,26.182323965936742,월요일
0,6,3445,7539500,3445,25072553,3445,363576.95855,3445,170948.27795,3445,88324.49723333333,3445,2188.534107402032,7277.95442670537,7.27795442670537,105.53757867924527,49.622141640058054,25.63846073536526,월요일
0,7,24572,57808780,24572,227467942,24572,6391196.641883333,24572,1313512.6375166667,24572,794709.6761666667,24572,2352.6281946931467,9257.20096044278,9.25720096044278,260.10079122103747,53.45566651134082,32.34208351646861,월요일
0,8,21323,46573380,21323,160863166,21323,6852890.434066666,21323,1193091.9074,21323,535758.0570666667,21323,2184.1851521830886,7544.1150869952635,7.544115086995263,321.3849099126139,55.953285532054586,25.125829248542264,월요일
0,9,13820,29501200,13820,102001277,13820,407311.8054833333,13820,582012.0863666667,13820,312964.3667833333,13820,2134.6743849493487,7380.7002170767,7.3807002170767,29.472634260733233,42.11375444042451,22.645757364930052,월요일
0,10,20370,44882100,20370,153036885,20370,4193827.119183333,20370,506747.4009,20370,448785.95045,20370,2203.343151693667,7512.856406480118,7.512856406480117,205.88252916953036,24.877142901325477,22.03171087137948,월요일
0,11,25154,55357300,25154,191198447,25154,296365.48336666665,25154,584238.4179166667,25154,536521.5359,25154,2200.7354695078316,7601.115011528981,7.601115011528981,11.782041956216373,23.226461712517562,21.329471889162757,월요일
0,12,28136,63524880,28136,229791843,28136,685832.6031833333,28136,621769.2124166667,28136,630015.5944666667,28136,2257.779357406881,8167.182364230878,8.167182364230879,24.375625646265757,22.098706725073452,22.39179678940385,월요일
0,13,24377,53394000,24377,189457702,24377,577244.8053666666,24377,509668.73475,24377,555547.3359666667,24377,2190.343356442548,7771.9859703819175,7.771985970381918,23.67989520312863,20.907771044427125,22.789815644528314,월요일
0,14,32487,72006380,32487,261398031,32487,573998.3351333333,32487,982183.39155,32487,790855.0822000001,32487,2216.4675100809554,8046.234832394496,8.046234832394497,17.66855465673449,30.233120680579923,24.343740025240866,월요일
0,15,28431,61786400,28431,217023361,28431,1309157.59,28431,1306495.5091833333,28431,741751.1245166666,28431,2173.2053040695014,7633.335478878689,7.633335478878689,46.04683584819388,45.953202813243756,26.089519345667288,월요일
0,16,13735,30156400,13735,108555376,13735,519917.30985,13735,704210.4401,13735,388764.43271666666,13735,2195.587914088096,7903.558500182016,7.903558500182016,37.85346267564616,51.27123699308336,28.304654730008494,월요일
0,17,9067,20582000,9067,78488501,9067,512054.77145,9067,394356.35208333336,9067,262969.28915,9067,2269.990073894342,8656.501709495975,8.656501709495975,56.47455293371567,43.493586862615345,29.002899432006178,월요일
