출발구,목적구,trip_count,fare_sum,fare_count,distance_m_sum,distance_count,request_to_dispatch_min_sum,request_to_dispatch_count,scheduled_to_pickup_min_sum,scheduled_to_pickup_count,ride_min_sum,ride_min_count,avg_fare,avg_distance_m,avg_distance_km,avg_request_to_dispatch_min,avg_scheduled_to_pickup_min,avg_ride_min
강남구,가평군,10,67700,10,655804,10,16739.413616666665,10,276.19255,10,866.6447666666667,10,6770.0,65580.4,65.5804,1673.9413616666666,27.619255,86.66447666666667
강남구,강남구,17967,30367600,17967,68060210,17967,1484961.0704,17967,775286.3699,17967,287416.3360333333,17967,1690.1875660933933,3788.0675683196973,3.7880675683196974,82.64936107307842,43.15057438080927,15.996901877516187
강남구,강동구,2585,7491100,2585,29190945,2585,413819.6143,2585,115697.79231666666,2585,82072.22676666666,2585,2897.911025145068,11292.435203094778,11.292435203094778,160.08495717601548,44.75736646679561,31.749410741457122
강남구,강북구,346,1287200,346,7577137,346,25539.40886666667,346,17756.608233333332,346,18476.463233333332,346,3720.2312138728325,21899.239884393064,21.899239884393065,73.81332042389211,51.319676974951825,53.400182755298644
강남구,강서구,834,3518100,834,24255209,834,91796.9756,834,36603.927266666666,834,52196.93745,834,4218.345323741008,29082.984412470025,29.082984412470026,110.06831606714628,43.88960103916867,62.5862559352518
강남구,계양구,7,35200,7,286940,7,11072.221716666667,7,202.7202,7,598.3155833333334,7,5028.571428571428,40991.42857142857,40.99142857142857,1581.7459595238095,28.960028571428573,85.47365476190477
강남구,고양시덕양구,302,1425800,302,10931014,302,8113.0551,302,13510.21435,302,21361.177216666667,302,4721.192052980133,36195.41059602649,36.19541059602649,26.86442086092715,44.735809105960264,70.73237488962472
강남구,고양시일산동구,128,634800,128,5110117,128,22125.6791,128,6257.14375,128,9222.419833333333,128,4959.375,39922.7890625,39.9227890625,172.85686796875,48.883935546875,72.05015494791667
강남구,고양시일산서구,92,496900,92,4230997,92,10850.828383333333,92,4611.868083333334,92,6881.46525,92,5401.086956521739,45989.09782608696,45.98909782608696,117.94378677536233,50.129000905797106,74.79853532608696
강남구,과천시,261,776100,261,2988714,261,9988.43515,261,12386.9206,261,7994.32115,261,2973.5632183908046,11451.011494252874,11.451011494252874,38.26986647509578,47.45946590038314,30.62958295019157
강남구,관악구,654,2082200,654,9388367,654,30199.4927,654,31869.268216666667,654,29760.967266666667,654,3183.7920489296635,14355.30122324159,14.35530122324159,46.17659434250764,48.72976791539246,45.50606615698267
강남구,광명시,152,595100,152,3748008,152,6656.809566666667,152,9190.885083333333,152,10050.939433333333,152,3915.1315789473683,24657.947368421053,24.657947368421052,43.79479978070176,60.46634923245614,66.12460153508772
강남구,광주시,44,186200,44,1282946,44,70869.47973333334,44,1542.5307666666668,44,2234.754733333333,44,4231.818181818182,29157.863636363636,29.157863636363636,1610.669993939394,35.05751742424243,50.7898803030303
강남구,광진구,1510,4215000,1510,15933145,1510,62362.408683333335,1510,79805.67281666667,1510,48453.052566666665,1510,2791.390728476821,10551.75165562914,10.55175165562914,41.2996083995585,52.85143895143488,32.0881142825607
강남구,구로구,454,1673900,454,9771667,454,28087.866216666665,454,24378.58355,454,29824.807316666665,454,3687.0044052863436,21523.495594713655,21.523495594713655,61.86754673274596,53.69732059471365,65.69340818649046
강남구,구리시,94,332100,94,1822069,94,4420.3197666666665,94,4425.996283333333,94,3913.1869333333334,94,3532.978723404255,19383.712765957447,19.383712765957448,47.024678368794326,47.085066843971624,41.62964822695036
강남구,군포시,5,19700,5,125427,5,4164.950833333333,5,319.70689999999996,5,384.14421666666664,5,3940.0,25085.4,25.0854,832.9901666666667,63.941379999999995,76.82884333333332
강남구,금천구,297,1154300,297,6053855,297,11925.700916666667,297,14149.65465,297,15723.839033333334,297,3886.5319865319866,20383.350168350167,20.383350168350166,40.15387514029181,47.64193484848485,52.942218967452305
강남구,김포시,170,906000,170,7635955,170,9032.07715,170,8675.614383333334,170,14244.5524,170,5329.411764705882,44917.382352941175,44.917382352941175,53.12986558823529,51.03302578431373,83.79148470588235
강남구,남구,9,50000,9,433289,9,14965.275833333333,9,429.59111666666666,9,807.18185,9,5555.555555555556,48143.22222222222,48.14322222222222,1662.8084259259258,47.7323462962963,89.68687222222223
강남구,남동구,4,20000,4,159668,4,7216.5585,4,138.75905,4,245.26868333333334,4,5000.0,39917.0,39.917,1804.139625,34.6897625,61.317170833333336
강남구,남양주시,396,1665100,396,11419855,396,14845.156916666667,396,18675.250883333334,396,21223.142783333333,396,4204.79797979798,28838.01767676768,28.838017676767677,37.48776999158249,47.15972445286195,53.59379490740741
강남구,노원구,1345,5058200,1345,28558361,1345,75389.17438333333,1345,65227.4408,1345,63326.23613333333,1345,3760.7434944237916,21232.98215613383,21.23298215613383,56.05143076827757,48.49623851301115,47.08270344485749
강남구,도봉구,420,1632400,420,10211785,420,12493.285616666666,420,19595.388216666666,420,22208.54433333333,420,3886.6666666666665,24313.77380952381,24.31377380952381,29.745918134920633,46.65568623015873,52.8774865079365
강남구,동대문구,1085,3347500,1085,14294583,1085,46714.10573333333,1085,55775.4136,1085,43291.18225,1085,3085.253456221198,13174.730875576037,13.174730875576037,43.054475330261134,51.405911152073735,39.89970714285714
강남구,동두천시,4,25200,4,234756,4,7781.712566666667,4,105.922,4,378.0567833333333,4,6300.0,58689.0,58.689,1945.4281416666668,26.4805,94.51419583333333
강남구,동작구,944,3074100,944,13365953,944,53478.42561666667,944,47193.98956666667,944,42348.426666666666,944,3256.4618644067796,14158.848516949152,14.158848516949153,56.65087459392655,49.99363301553673,44.86062146892655
강남구,마포구,606,2272300,606,12925959,606,37738.61538333333,606,28408.7625,606,32026.067333333332,606,3749.6699669966997,21329.965346534653,21.329965346534653,62.27494287678768,46.87914603960396,52.84829592959296
강남구,부천시소사구,197,929500,197,7151523,197,7265.843516666667,197,9393.833316666667,197,14946.482583333334,197,4718.274111675127,36302.14720812183,36.30214720812183,36.88245439932318,47.68443307952623,75.87046996615906
강남구,부천시오정구,77,334000,77,2369076,77,2060.5207,77,3505.3638666666666,77,5809.3503,77,4337.662337662337,30767.22077922078,30.767220779220782,26.76000909090909,45.52420606060606,75.4461077922078
강남구,부천시원미구,215,1029300,215,8019635,215,61739.19388333333,215,10457.246933333334,215,16851.340116666666,215,4787.441860465116,37300.62790697674,37.30062790697674,287.15904131782946,48.63835782945737,78.378326124031
강남구,부평구,46,250900,46,2145524,46,78220.74013333334,46,1600.1641,46,3873.1118500000002,46,5454.347826086957,46641.82608695652,46.64182608695652,1700.4508724637683,34.78617608695652,84.19808369565217
강남구,서구,5,25200,5,205243,5,9481.481733333334,5,161.86666666666667,5,542.7907833333334,5,5040.0,41048.6,41.0486,1896.2963466666668,32.373333333333335,108.55815666666668
강남구,서대문구,1013,3851000,1013,22126651,1013,200387.33615,1013,44470.28708333333,1013,56378.26983333333,1013,3801.579466929911,21842.69595261599,21.84269595261599,197.81573163869692,43.89959238236261,55.65475797959855
강남구,서초구,5041,10263800,5041,30707812,5041,483454.94673333335,5041,225802.36458333334,5041,125615.50806666666,5041,2036.0642729617139,6091.611188256298,6.091611188256298,95.9045718574357,44.79316893142895,24.91876771804536
강남구,성남시분당구,1579,5292400,1579,26361794,1579,94536.15248333334,1579,78294.0223,1579,53461.15745,1579,3351.741608613046,16695.24635845472,16.695246358454717,59.87090087608191,49.58456130462318,33.85760446485117
강남구,성남시수정구,1197,2547800,1197,7935167,1197,53300.09208333334,1197,60076.566333333336,1197,23620.609516666667,1197,2128.4878863826234,6629.212197159565,6.629212197159565,44.52806356168198,50.18927847396269,19.733174199387356
강남구,성남시중원구,348,984200,348,3691551,348,50624.31135,348,13626.376133333333,348,9101.977266666667,348,2828.1609195402298,10607.905172413793,10.607905172413794,145.47215905172416,39.15625325670498,26.155107088122605
강남구,성동구,1290,3479200,1290,13516421,1290,55228.131466666666,1290,58064.03076666667,1290,37733.10563333333,1290,2697.0542635658917,10477.845736434108,10.477845736434109,42.81250501291989,45.0108765633075,29.250469483204135
강남구,성북구,753,2484500,753,11914743,753,28415.8758,753,41904.8209,753,36662.95861666666,753,3299.468791500664,15823.03187250996,15.82303187250996,37.73688685258964,55.65049256308101,48.689188069942446
