category,keyword,headline,body,press,url,crawled_at
복지지원사업,서울특별시 장애인 복지,"문성호 서울시의원, ‘시설 거주 장애인 주거권 보장’ 토론회 참석… ...","서울특별시의회 문성호 의원이 임기 만료를 앞두고 지난 29일 개최된 ‘시설 거주 장애인의 주거권 보장 및 지원방안을 위한 정책 토론회’에 직접 참석해 자리를 빛냈다. 문 의원은 일률적인 탈시설 정책의 문제점을 지적하고, 개개인의 특성을 반영한 ‘시 맞춤형 ’의 현주소와 발전 방향을...",서울신문,https://n.news.naver.com/mnews/article/081/0003657018?sid=102,2026-07-27 11:40:27
복지지원사업,서울특별시 장애인 복지,"서울중앙지법, 46회 장애인의 날 맞아 장애인 사법지원 간담회 개최","올해 간담회에는 한국지적발달장애인복지협회, 서울특별시농아인협회가 참석했다. 장애인 사법지원 전문가로는 신권철 서울시립대 교수와 이정민 대한변호사협회 변호사가 자리했다. 간담회에서는 농인에 대한 정보 없이 수어통역을 하는 것에는 한계가 있고, 수어통역 뿐 아니라 농통역을 통한 중개통역이...",머니투데이,https://n.news.naver.com/mnews/article/008/0005348595?sid=102,2026-07-27 11:40:30
복지지원사업,서울특별시 장애인 복지,"“장애인 ‘입는 불편’ 덜어준다”…유니클로, 맞춤 리폼 지원","유니클로, 서울시·한국뇌성마비복지회와 함께 '2026 장애인의류리폼지원 사업' 진행 (사진=유니클로) 유니클로는 서울특별시, 한국뇌성마비복지회와 함께 ‘2026 장애인의류리폼지원 사업’을 진행한다고 20일 밝혔다. 장애로 기성복 착용이 어려운 뇌병변·지체 을 대상으로 맞춤형 의류를 제공하는...",이데일리,https://n.news.naver.com/mnews/article/018/0006261575?sid=101,2026-07-27 11:40:30
복지지원사업,서울특별시 장애인 복지,"“장애인의 건강한 일상회복 위해”…365mc·서울교통공사, ‘아트건강...","해당 사업은 체중 관리와 건강한 생활 유지에 어려움을 겪는 발달장애인을 대상으로 한 맞춤형 건강 지원 프로그램으로, 서울특별시중구장애인복지관과의 협업을 통해 진행된다. 지원 사업은 △전문 트레이너가 참여하는 단체 운동 △건강한 요리 만들기 △식단 조절을 위한 부모 교육 △점핑•플로깅...",스포츠경향,https://n.news.naver.com/mnews/article/144/0001098080?sid=103,2026-07-27 11:40:30
복지지원사업,서울특별시 장애인 복지,"""장애인 일상 회복 위해""…365mc, 서울교통공사와 '기부 캠페인'","이 사업은 체중 관리와 건강한 생활 유지의 어려움을 겪는 발달장애인을 대상으로 한 맞춤형 건강 지원 프로그램으로, 서울특별시중구장애인복지관과의 협업을 통해 진행된다. 지원 사업은 △전문 트레이너가 참여하는 단체 운동 △건강한 요리 만들기 △식단 조절을 위한 부모 교육 △점핑·플로깅·개인...",뉴스1,https://n.news.naver.com/mnews/article/421/0008772406?sid=105,2026-07-27 11:40:30
복지지원사업,서울특별시 장애인 복지,"한화 건설부문, 서울특별시장애인복지시설협회와 이천시에 ‘포레나 도...",박영서 새생명의집 원장(첫 번째 줄 가운데)과 ㈜한화 건설부문 및 서울특별시장애인복지시설협회 임직원 등 참석자들이 포레나 도서관 104호점 개관을 축하하고 있다. 한화 건설부분 제공 이날 개관식에는 박영서 새생명의집 원장과 시설 관계자들을 비롯해 ㈜한화 건설부문 및 시설협회...,세계일보,https://n.news.naver.com/mnews/article/022/0004071340?sid=101,2026-07-27 11:40:34
복지지원사업,서울특별시 장애인 복지,"재정공제회, 장애인 공동생활가정 106곳에 '사랑의 DIY 가구' 기부","한국지방재정공제회(이사장 정선용, LOFA)는 지난 16일 서울특별시장애인복지시설협회와 함께 서울복지타운에서 '장애인·소상공인 지원을 위한 임직원 DIY 가구 제작 봉사활동'을 실시했다고 20일 밝혔다. 이번 봉사활동은 재정공제회 임직원이 직접 가구를 제작·기부하는 참여형 사회공헌활동으로, 장애인...",아시아경제,https://n.news.naver.com/mnews/article/277/0005709115?sid=102,2026-07-27 11:40:34
복지지원사업,서울특별시 장애인 복지,"중구 장애인복지관, 경륜경정본부 동대문지점과 함께하는 장애인의 온열...",서울특별시중구장애인복지관(관장 문중호)은 지난 4월 25일 국민체육진흥공단 경륜경정총괄본부 동대문지점(지점장 김미숙)과 중구 저소득 장애인의 온열질환 예방을 위한 후원품(온누리상품권 200만원) 전달식을 진행하였다. 이 후원금은 체온 조절이 어려운 들의 쾌적한 수면 환경 조성을 위해 여름...,스포츠경향,https://m.sports.naver.com/general/article/144/0001053525,2026-07-27 11:40:39
복지지원사업,서울특별시 장애인 복지,"서울시, 거주시설 장애인 지원사업 재편…자기결정권·자립역량↑","사업 참여를 희망하는 장애인은 본인이 거주하는 시설 담당자와 함께 개인 맞춤형 개별지원서비스 계획서 작성 후 서울특별시 장애인복지시설협회에 7월 4일까지 제출하면 된다. 전문가로 구성된 심의위원회가 계획서 심사와 심의를 거쳐 최종 대상자와 금액을 확정한다. 단 지원금 사용처가 도박, 술, 담배...",뉴시스,https://n.news.naver.com/mnews/article/003/0013317300?sid=102,2026-07-27 11:40:44
복지지원사업,서울특별시 장애인 복지,"서울시, 장애인의 날 맞아 장애인콜택시·버스 하루 종일 무료운행","공단은 올해 서울시장이 수여하는 ‘서울특별시 복지상’ 장애인 분야 우수상을 수상했다. 이 상은 장애인 사회참여 활성화 등 장애인 복지 증진에 기여한 시민과 단체에 수여하는 상으로, 단체로서는 유일하게 복지상 장애인 분야 수상 영예를 안았다. 한국영 시설공단 이사장은 “시설공단은...",세계일보,https://n.news.naver.com/mnews/article/022/0004028993?sid=102,2026-07-27 11:40:55
복지지원사업,서울특별시 장애인 복지,"10년 만에 최고매출, 간미연도 놀라…장애인 생산품 첫 완판ㆍ최대 매출...","한편, 이번 9월 행사의 개장식에는 이상헌 한국장애인직업재활시설협회 회장, 국회 보건복지위원회 소속 김예지 · 서미화 · 최보윤 국회의원, 은성호 보건복지부 인구사회서비스정책실 실장, 이경혜 한국장애인개발원 원장, 김영옥 의회 보건위원회 위원장 등이 참석했다. ‘생산품...",스포츠경향,https://n.news.naver.com/mnews/article/144/0001035355?sid=101,2026-07-27 11:41:02
복지지원사업,서울특별시 장애인 복지,미사리 물살 가른 장애인 조정 열전... 서울시장배 전국장애인조정대회...,"기록보다 중요한 건 안전… 선수 지원 확대 의지도 밝혀 정희영 서울특별시장애인체육회 부회장(숭실사이버대학교 스포츠재활복지학과 교수)은 선수들의 안전을 가장 먼저 강조했다. 정 부회장은 ""기온이 높아지는 시기인 만큼 선수들이 건강 관리와 안전에 유의해주길 바란다""며 ""훈련 과정에서 흘린 땀과...",STN 뉴스,https://m.sports.naver.com/general/article/450/0000151691,2026-07-27 11:41:02
복지지원사업,서울특별시 장애인 복지,"금호석화, 중증장애인 27명 맞춤형 보장구 지원",금호석유화학은 서울특별시 소재 장애인 복지 시설에 거주하는 중증장애인 27명을 대상으로 6700만원 상당의 맞춤형 보장구를 지원한다고 20일 밝혔다. 이날 백종훈 대표이사와 임직원들은 경기도 광주 초록우산 어린이재단 산하 한사랑마을에 직접 방문해 후원금을 전달했다. 보장구는 중증의 신체...,동행미디어 시대,https://n.news.naver.com/mnews/article/417/0001084405?sid=101,2026-07-27 11:41:46
복지지원사업,서울특별시 장애인 복지,"서울시설공단, 장애인의 날 맞아 장애인콜택시·버스 무료운행",올해 서울시장이 수여하는 ‘서울특별시 복지상’에서도 장애인 분야 우수상을 수상했다. 단체로서는 유일하게 수상의 영예를 안았다. 장애인 사회참여 활성화 등 장애인 복지 증진에 기여한 공로를 인정받았다. 앞서 지난 15일에는 평소 외출이 어려운 중증장애어린이 20여 명을 양평치즈마을로 초청해...,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005338085?sid=102,2026-07-27 11:42:06
복지지원사업,서울특별시 장애인 복지,"""장애인 권리, 시설 안에 머물 수 없다""[내가 만드는 복지국가]",탈시설은 복지의 확대가 아닌 시민권의 문제다 그러나 최근 한국 사회는 탈시설의 방향으로 나아가기보다 오히려 퇴행하고 있다. 서울특별시는 2024년 '서울특별시 장애인 탈시설 및 지역사회 정착지원에 관한 조례'를 제정된지 2년 만에 폐지했다. 이에 더해 일부 정치권과 시설 중심 단체들은 탈시설 정책을...,프레시안,https://n.news.naver.com/mnews/article/002/0002441500?sid=102,2026-07-27 11:42:16
복지지원사업,서울특별시 장애인 복지,"보건사회연구원, 9일 장애인 개인예산제 공동세미나 개최","이번 세미나는 보사연과 한국장애인복지학회를 비롯해 보건복지부, 서울특별시, 한국장애인자립생활센터총연합회, 한국장애인개발원, 한국장애인재단, 한국장애인복지관협회가 공동 주최한다. 한국장애인복지학회 월례세미나를 겸해 열리는 세미나에서 부, 시, 한국자립생활센터총연합회가...",헤럴드경제,https://n.news.naver.com/mnews/article/016/0002454334?sid=102,2026-07-27 11:42:25
복지지원사업,서울특별시 장애인 복지,따뜻한 소비 통했다. 9일 청계광장 뜨거운 반응 장애인생산품 첫 완판,"사단법인 한국장애인직업재활시설협회가 주최한 이번 행사의 개장식에는 이상헌 한국장애인직업재활시설협회 회장, 국회 보건복지위원회 소속 김예지 · 서미화 · 최보윤 국회의원, 은성호 보건복지부 인구사회서비스정책실 실장, 이경혜 한국개발원 원장, 김영옥 의회 보건위원회...",스포츠경향,https://n.news.naver.com/mnews/article/144/0001032199?sid=103,2026-07-27 11:42:26
